SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning
CONTROL_SAMPLE_P1_A12;12;OID20049;P16860;NPPB;0.4318;Cardiometabolic;B04405;P1;PASS;-6.388;-5.7769;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20050;P19429;TNNI3;0;Cardiometabolic;B04405;P1;PASS;-8.198;-6.6803;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20051;P61978;HNRNPK;0.0795;Cardiometabolic;B04405;P1;PASS;-4.2946;-3.41;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20052;P17676;CEBPB;0;Cardiometabolic;B04405;P1;PASS;-4.437;-3.3112;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20053;P08670;VIM;0;Cardiometabolic;B04405;P1;PASS;-6.6312;-4.205;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20054;O96017;CHEK2;0.875;Cardiometabolic;B04405;P1;PASS;-3.5978;-3.8751;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20055;P34998;CRHR1;0.4659;Cardiometabolic;B04405;P1;WARN;-4.5948;-4.4665;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20056;Q969D9;TSLP;0.0455;Cardiometabolic;B04405;P1;PASS;-4.7479;-3.4829;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20057;P55082;MFAP3;0.1364;Cardiometabolic;B04405;P1;PASS;-4.5725;-4.853;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20058;O95988;TCL1B;0.4773;Cardiometabolic;B04405;P1;PASS;-4.1319;-4.3209;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20059;Q9NRD8;DUOX2;0.75;Cardiometabolic;B04405;P1;PASS;-3.4425;-4.236;Plate control;PASS
